"Text","Type"
"abbo","PROFANITY"
"abo","PROFANITY"
"abortion","PROFANITY"
"abuse","PROFANITY"
"addict","PROFANITY"
"addicts","PROFANITY"
"adult","PROFANITY"
"africa","PROFANITY"
"african","PROFANITY"
"alla","PROFANITY"
"allah","PROFANITY"
"alligatorbait","PROFANITY"
"amateur","PROFANITY"
"american","PROFANITY"
"anal","PROFANITY"
"analannie","PROFANITY"
"analsex","PROFANITY"
"angie","PROFANITY"
"angry","PROFANITY"
"anus","PROFANITY"
"arab","PROFANITY"
"arabs","PROFANITY"
"areola","PROFANITY"
"argie","PROFANITY"
"aroused","PROFANITY"
"arse","PROFANITY"
"arsehole","PROFANITY"
"asian","PROFANITY"
"ass","PROFANITY"
"assassin","PROFANITY"
"assassinate","PROFANITY"
"assassination","PROFANITY"
"assault","PROFANITY"
"assbagger","PROFANITY"
"assblaster","PROFANITY"
"assclown","PROFANITY"
"asscowboy","PROFANITY"
"asses","PROFANITY"
"assfuck","PROFANITY"
"assfucker","PROFANITY"
"asshat","PROFANITY"
"asshole","PROFANITY"
"assholes","PROFANITY"
"asshore","PROFANITY"
"assjockey","PROFANITY"
"asskiss","PROFANITY"
"asskisser","PROFANITY"
"assklown","PROFANITY"
"asslick","PROFANITY"
"asslicker","PROFANITY"
"asslover","PROFANITY"
"assman","PROFANITY"
"assmonkey","PROFANITY"
"assmunch","PROFANITY"
"assmuncher","PROFANITY"
"asspacker","PROFANITY"
"asspirate","PROFANITY"
"asspuppies","PROFANITY"
"assranger","PROFANITY"
"asswhore","PROFANITY"
"asswipe","PROFANITY"
"athletesfoot","PROFANITY"
"attack","PROFANITY"
"australian","PROFANITY"
"babe","PROFANITY"
"babies","PROFANITY"
"backdoor","PROFANITY"
"backdoorman","PROFANITY"
"backseat","PROFANITY"
"badfuck","PROFANITY"
"balllicker","PROFANITY"
"balls","PROFANITY"
"ballsack","PROFANITY"
"banging","PROFANITY"
"baptist","PROFANITY"
"barelylegal","PROFANITY"
"barf","PROFANITY"
"barface","PROFANITY"
"barfface","PROFANITY"
"bast","PROFANITY"
"bastard ","PROFANITY"
"bazongas","PROFANITY"
"bazooms","PROFANITY"
"beaner","PROFANITY"
"beast","PROFANITY"
"beastality","PROFANITY"
"beastial","PROFANITY"
"beastiality","PROFANITY"
"beatoff","PROFANITY"
"beat-off","PROFANITY"
"beatyourmeat","PROFANITY"
"beaver","PROFANITY"
"bestial","PROFANITY"
"bestiality","PROFANITY"
"bi","PROFANITY"
"biatch","PROFANITY"
"bible","PROFANITY"
"bicurious","PROFANITY"
"bigass","PROFANITY"
"bigbastard","PROFANITY"
"bigbutt","PROFANITY"
"bigger","PROFANITY"
"bisexual","PROFANITY"
"bi-sexual","PROFANITY"
"bitch","PROFANITY"
"bitcher","PROFANITY"
"bitches","PROFANITY"
"bitchez","PROFANITY"
"bitchin","PROFANITY"
"bitching","PROFANITY"
"bitchslap","PROFANITY"
"bitchy","PROFANITY"
"biteme","PROFANITY"
"black","PROFANITY"
"blackman","PROFANITY"
"blackout","PROFANITY"
"blacks","PROFANITY"
"blind","PROFANITY"
"blow","PROFANITY"
"blowjob","PROFANITY"
"boang","PROFANITY"
"bogan","PROFANITY"
"bohunk","PROFANITY"
"bollick","PROFANITY"
"bollock","PROFANITY"
"bomb","PROFANITY"
"bombers","PROFANITY"
"bombing","PROFANITY"
"bombs","PROFANITY"
"bomd","PROFANITY"
"bondage","PROFANITY"
"boner","PROFANITY"
"bong","PROFANITY"
"boob","PROFANITY"
"boobies","PROFANITY"
"boobs","PROFANITY"
"booby","PROFANITY"
"boody","PROFANITY"
"boom","PROFANITY"
"boong","PROFANITY"
"boonga","PROFANITY"
"boonie","PROFANITY"
"booty","PROFANITY"
"bootycall","PROFANITY"
"bountybar","PROFANITY"
"bra","PROFANITY"
"brea5t","PROFANITY"
"breast","PROFANITY"
"breastjob","PROFANITY"
"breastlover","PROFANITY"
"breastman","PROFANITY"
"brothel","PROFANITY"
"bugger","PROFANITY"
"buggered","PROFANITY"
"buggery","PROFANITY"
"bullcrap","PROFANITY"
"bulldike","PROFANITY"
"bulldyke","PROFANITY"
"bullshit","PROFANITY"
"bumblefuck","PROFANITY"
"bumfuck","PROFANITY"
"bunga","PROFANITY"
"bunghole","PROFANITY"
"buried","PROFANITY"
"burn","PROFANITY"
"butchbabes","PROFANITY"
"butchdike","PROFANITY"
"butchdyke","PROFANITY"
"butt","PROFANITY"
"buttbang","PROFANITY"
"butt-bang","PROFANITY"
"buttface","PROFANITY"
"buttfuck","PROFANITY"
"butt-fuck","PROFANITY"
"buttfucker","PROFANITY"
"butt-fucker","PROFANITY"
"buttfuckers","PROFANITY"
"butt-fuckers","PROFANITY"
"butthead","PROFANITY"
"buttman","PROFANITY"
"buttmunch","PROFANITY"
"buttmuncher","PROFANITY"
"buttpirate","PROFANITY"
"buttplug","PROFANITY"
"buttstain","PROFANITY"
"byatch","PROFANITY"
"cacker","PROFANITY"
"cameljockey","PROFANITY"
"cameltoe","PROFANITY"
"canadian","PROFANITY"
"cancer","PROFANITY"
"carpetmuncher","PROFANITY"
"carruth","PROFANITY"
"catholic","PROFANITY"
"catholics","PROFANITY"
"cemetery","PROFANITY"
"chav","PROFANITY"
"cherrypopper","PROFANITY"
"chickslick","PROFANITY"
"children's","PROFANITY"
"chin","PROFANITY"
"chinaman","PROFANITY"
"chinamen","PROFANITY"
"chinese","PROFANITY"
"chink","PROFANITY"
"chinky","PROFANITY"
"choad","PROFANITY"
"chode","PROFANITY"
"christ","PROFANITY"
"christian","PROFANITY"
"church","PROFANITY"
"cigarette","PROFANITY"
"cigs","PROFANITY"
"clamdigger","PROFANITY"
"clamdiver","PROFANITY"
"clit","PROFANITY"
"clitoris","PROFANITY"
"clogwog","PROFANITY"
"cocaine","PROFANITY"
"cock","PROFANITY"
"cockblock","PROFANITY"
"cockblocker","PROFANITY"
"cockcowboy","PROFANITY"
"cockfight","PROFANITY"
"cockhead","PROFANITY"
"cockknob","PROFANITY"
"cocklicker","PROFANITY"
"cocklover","PROFANITY"
"cocknob","PROFANITY"
"cockqueen","PROFANITY"
"cockrider","PROFANITY"
"cocksman","PROFANITY"
"cocksmith","PROFANITY"
"cocksmoker","PROFANITY"
"cocksucer","PROFANITY"
"cocksuck ","PROFANITY"
"cocksucked ","PROFANITY"
"cocksucker","PROFANITY"
"cocksucking","PROFANITY"
"cocktail","PROFANITY"
"cocktease","PROFANITY"
"cocky","PROFANITY"
"cohee","PROFANITY"
"coitus","PROFANITY"
"color","PROFANITY"
"colored","PROFANITY"
"coloured","PROFANITY"
"commie","PROFANITY"
"communist","PROFANITY"
"condom","PROFANITY"
"conservative","PROFANITY"
"conspiracy","PROFANITY"
"coolie","PROFANITY"
"cooly","PROFANITY"
"coon","PROFANITY"
"coondog","PROFANITY"
"copulate","PROFANITY"
"cornhole","PROFANITY"
"corruption","PROFANITY"
"cra5h","PROFANITY"
"crabs","PROFANITY"
"crack","PROFANITY"
"crackpipe","PROFANITY"
"crackwhore","PROFANITY"
"crack-whore","PROFANITY"
"crap","PROFANITY"
"crapola","PROFANITY"
"crapper","PROFANITY"
"crappy","PROFANITY"
"crash","PROFANITY"
"creamy","PROFANITY"
"crime","PROFANITY"
"crimes","PROFANITY"
"criminal","PROFANITY"
"criminals","PROFANITY"
"crotch","PROFANITY"
"crotchjockey","PROFANITY"
"crotchmonkey","PROFANITY"
"crotchrot","PROFANITY"
"cum","PROFANITY"
"cumbubble","PROFANITY"
"cumfest","PROFANITY"
"cumjockey","PROFANITY"
"cumm","PROFANITY"
"cummer","PROFANITY"
"cumming","PROFANITY"
"cumquat","PROFANITY"
"cumqueen","PROFANITY"
"cumshot","PROFANITY"
"cunilingus","PROFANITY"
"cunillingus","PROFANITY"
"cunn","PROFANITY"
"cunnilingus","PROFANITY"
"cunntt","PROFANITY"
"cunt","PROFANITY"
"cunteyed","PROFANITY"
"cuntfuck","PROFANITY"
"cuntfucker","PROFANITY"
"cuntlick ","PROFANITY"
"cuntlicker ","PROFANITY"
"cuntlicking ","PROFANITY"
"cuntsucker","PROFANITY"
"cybersex","PROFANITY"
"cyberslimer","PROFANITY"
"dago","PROFANITY"
"dahmer","PROFANITY"
"dammit","PROFANITY"
"damn","PROFANITY"
"damnation","PROFANITY"
"damnit","PROFANITY"
"darkie","PROFANITY"
"darky","PROFANITY"
"datnigga","PROFANITY"
"dead","PROFANITY"
"deapthroat","PROFANITY"
"death","PROFANITY"
"deepthroat","PROFANITY"
"defecate","PROFANITY"
"dego","PROFANITY"
"demon","PROFANITY"
"deposit","PROFANITY"
"desire","PROFANITY"
"destroy","PROFANITY"
"deth","PROFANITY"
"devil","PROFANITY"
"devilworshipper","PROFANITY"
"dick","PROFANITY"
"dickbrain","PROFANITY"
"dickforbrains","PROFANITY"
"dickhead","PROFANITY"
"dickless","PROFANITY"
"dicklick","PROFANITY"
"dicklicker","PROFANITY"
"dickman","PROFANITY"
"dickwad","PROFANITY"
"dickweed","PROFANITY"
"diddle","PROFANITY"
"die","PROFANITY"
"died","PROFANITY"
"dies","PROFANITY"
"dike","PROFANITY"
"dildo","PROFANITY"
"dingleberry","PROFANITY"
"dink","PROFANITY"
"dipshit","PROFANITY"
"dipstick","PROFANITY"
"dirty","PROFANITY"
"disease","PROFANITY"
"diseases","PROFANITY"
"disturbed","PROFANITY"
"dive","PROFANITY"
"dix","PROFANITY"
"dixiedike","PROFANITY"
"dixiedyke","PROFANITY"
"doggiestyle","PROFANITY"
"doggystyle","PROFANITY"
"dong","PROFANITY"
"doodoo","PROFANITY"
"doo-doo","PROFANITY"
"doom","PROFANITY"
"dope","PROFANITY"
"dragqueen","PROFANITY"
"dragqween","PROFANITY"
"dripdick","PROFANITY"
"drug","PROFANITY"
"drunk","PROFANITY"
"drunken","PROFANITY"
"dumb","PROFANITY"
"dumbass","PROFANITY"
"dumbbitch","PROFANITY"
"dumbfuck","PROFANITY"
"dyefly","PROFANITY"
"dyke","PROFANITY"
"easyslut","PROFANITY"
"eatballs","PROFANITY"
"eatme","PROFANITY"
"eatpussy","PROFANITY"
"ecstacy","PROFANITY"
"ejaculate","PROFANITY"
"ejaculated","PROFANITY"
"ejaculating ","PROFANITY"
"ejaculation","PROFANITY"
"enema","PROFANITY"
"enemy","PROFANITY"
"erect","PROFANITY"
"erection","PROFANITY"
"ero","PROFANITY"
"escort","PROFANITY"
"ethiopian","PROFANITY"
"ethnic","PROFANITY"
"european","PROFANITY"
"evl","PROFANITY"
"excrement","PROFANITY"
"execute","PROFANITY"
"executed","PROFANITY"
"execution","PROFANITY"
"executioner","PROFANITY"
"explosion","PROFANITY"
"facefucker","PROFANITY"
"faeces","PROFANITY"
"fag","PROFANITY"
"fagging","PROFANITY"
"faggot","PROFANITY"
"fagot","PROFANITY"
"failed","PROFANITY"
"failure","PROFANITY"
"fairies","PROFANITY"
"fairy","PROFANITY"
"faith","PROFANITY"
"fannyfucker","PROFANITY"
"fart","PROFANITY"
"farted ","PROFANITY"
"farting ","PROFANITY"
"farty ","PROFANITY"
"fastfuck","PROFANITY"
"fat","PROFANITY"
"fatah","PROFANITY"
"fatass","PROFANITY"
"fatfuck","PROFANITY"
"fatfucker","PROFANITY"
"fatso","PROFANITY"
"fckcum","PROFANITY"
"fear","PROFANITY"
"feces","PROFANITY"
"felatio ","PROFANITY"
"felch","PROFANITY"
"felcher","PROFANITY"
"felching","PROFANITY"
"fellatio","PROFANITY"
"feltch","PROFANITY"
"feltcher","PROFANITY"
"feltching","PROFANITY"
"fetish","PROFANITY"
"fight","PROFANITY"
"filipina","PROFANITY"
"filipino","PROFANITY"
"fingerfood","PROFANITY"
"fingerfuck ","PROFANITY"
"fingerfucked ","PROFANITY"
"fingerfucker ","PROFANITY"
"fingerfuckers","PROFANITY"
"fingerfucking ","PROFANITY"
"fire","PROFANITY"
"firing","PROFANITY"
"fister","PROFANITY"
"fistfuck","PROFANITY"
"fistfucked ","PROFANITY"
"fistfucker ","PROFANITY"
"fistfucking ","PROFANITY"
"fisting","PROFANITY"
"flange","PROFANITY"
"flasher","PROFANITY"
"flatulence","PROFANITY"
"floo","PROFANITY"
"flydie","PROFANITY"
"flydye","PROFANITY"
"fok","PROFANITY"
"fondle","PROFANITY"
"footaction","PROFANITY"
"footfuck","PROFANITY"
"footfucker","PROFANITY"
"footlicker","PROFANITY"
"footstar","PROFANITY"
"fore","PROFANITY"
"foreskin","PROFANITY"
"forni","PROFANITY"
"fornicate","PROFANITY"
"foursome","PROFANITY"
"fourtwenty","PROFANITY"
"fraud","PROFANITY"
"freakfuck","PROFANITY"
"freakyfucker","PROFANITY"
"freefuck","PROFANITY"
"fu","PROFANITY"
"fubar","PROFANITY"
"fuc","PROFANITY"
"fucck","PROFANITY"
"fuck","PROFANITY"
"fucka","PROFANITY"
"fuckable","PROFANITY"
"fuckbag","PROFANITY"
"fuckbuddy","PROFANITY"
"fucked","PROFANITY"
"fuckedup","PROFANITY"
"fucker","PROFANITY"
"fuckers","PROFANITY"
"fuckface","PROFANITY"
"fuckfest","PROFANITY"
"fuckfreak","PROFANITY"
"fuckfriend","PROFANITY"
"fuckhead","PROFANITY"
"fuckher","PROFANITY"
"fuckin","PROFANITY"
"fuckina","PROFANITY"
"fucking","PROFANITY"
"fuckingbitch","PROFANITY"
"fuckinnuts","PROFANITY"
"fuckinright","PROFANITY"
"fuckit","PROFANITY"
"fuckknob","PROFANITY"
"fuckme ","PROFANITY"
"fuckmehard","PROFANITY"
"fuckmonkey","PROFANITY"
"fuckoff","PROFANITY"
"fuckpig","PROFANITY"
"fucks","PROFANITY"
"fucktard","PROFANITY"
"fuckwhore","PROFANITY"
"fuckyou","PROFANITY"
"fudgepacker","PROFANITY"
"fugly","PROFANITY"
"fuk","PROFANITY"
"fuks","PROFANITY"
"funeral","PROFANITY"
"funfuck","PROFANITY"
"fungus","PROFANITY"
"fuuck","PROFANITY"
"gangbang","PROFANITY"
"gangbanged ","PROFANITY"
"gangbanger","PROFANITY"
"gangsta","PROFANITY"
"gatorbait","PROFANITY"
"gay","PROFANITY"
"gaymuthafuckinwhore","PROFANITY"
"gaysex ","PROFANITY"
"geez","PROFANITY"
"geezer","PROFANITY"
"geni","PROFANITY"
"genital","PROFANITY"
"german","PROFANITY"
"getiton","PROFANITY"
"gin","PROFANITY"
"ginzo","PROFANITY"
"gipp","PROFANITY"
"girls","PROFANITY"
"givehead","PROFANITY"
"glazeddonut","PROFANITY"
"gob","PROFANITY"
"god","PROFANITY"
"godammit","PROFANITY"
"goddamit","PROFANITY"
"goddammit","PROFANITY"
"goddamn","PROFANITY"
"goddamned","PROFANITY"
"goddamnes","PROFANITY"
"goddamnit","PROFANITY"
"goddamnmuthafucker","PROFANITY"
"goldenshower","PROFANITY"
"gonorrehea","PROFANITY"
"gonzagas","PROFANITY"
"gook","PROFANITY"
"gotohell","PROFANITY"
"goy","PROFANITY"
"goyim","PROFANITY"
"greaseball","PROFANITY"
"gringo","PROFANITY"
"groe","PROFANITY"
"gross","PROFANITY"
"grostulation","PROFANITY"
"gubba","PROFANITY"
"gummer","PROFANITY"
"gun","PROFANITY"
"gyp","PROFANITY"
"gypo","PROFANITY"
"gypp","PROFANITY"
"gyppie","PROFANITY"
"gyppo","PROFANITY"
"gyppy","PROFANITY"
"hamas","PROFANITY"
"handjob","PROFANITY"
"hapa","PROFANITY"
"harder","PROFANITY"
"hardon","PROFANITY"
"harem","PROFANITY"
"headfuck","PROFANITY"
"headlights","PROFANITY"
"hebe","PROFANITY"
"heeb","PROFANITY"
"hell","PROFANITY"
"henhouse","PROFANITY"
"heroin","PROFANITY"
"herpes","PROFANITY"
"heterosexual","PROFANITY"
"hijack","PROFANITY"
"hijacker","PROFANITY"
"hijacking","PROFANITY"
"hillbillies","PROFANITY"
"hindoo","PROFANITY"
"hiscock","PROFANITY"
"hitler","PROFANITY"
"hitlerism","PROFANITY"
"hitlerist","PROFANITY"
"hiv","PROFANITY"
"ho","PROFANITY"
"hobo","PROFANITY"
"hodgie","PROFANITY"
"hoes","PROFANITY"
"hole","PROFANITY"
"holestuffer","PROFANITY"
"homicide","PROFANITY"
"homo","PROFANITY"
"homobangers","PROFANITY"
"homosexual","PROFANITY"
"honger","PROFANITY"
"honk","PROFANITY"
"honkers","PROFANITY"
"honkey","PROFANITY"
"honky","PROFANITY"
"hook","PROFANITY"
"hooker","PROFANITY"
"hookers","PROFANITY"
"hooters","PROFANITY"
"hore","PROFANITY"
"hork","PROFANITY"
"horn","PROFANITY"
"horney","PROFANITY"
"horniest","PROFANITY"
"horny","PROFANITY"
"horseshit","PROFANITY"
"hosejob","PROFANITY"
"hoser","PROFANITY"
"hostage","PROFANITY"
"hotdamn","PROFANITY"
"hotpussy","PROFANITY"
"hottotrot","PROFANITY"
"hummer","PROFANITY"
"husky","PROFANITY"
"hussy","PROFANITY"
"hustler","PROFANITY"
"hymen","PROFANITY"
"hymie","PROFANITY"
"iblowu","PROFANITY"
"idiot","PROFANITY"
"ikey","PROFANITY"
"illegal","PROFANITY"
"incest","PROFANITY"
"insest","PROFANITY"
"intercourse","PROFANITY"
"interracial","PROFANITY"
"intheass","PROFANITY"
"inthebuff","PROFANITY"
"israel","PROFANITY"
"israeli","PROFANITY"
"israel's","PROFANITY"
"italiano","PROFANITY"
"itch","PROFANITY"
"jackass","PROFANITY"
"jackoff","PROFANITY"
"jackshit","PROFANITY"
"jacktheripper","PROFANITY"
"jade","PROFANITY"
"jap","PROFANITY"
"japanese","PROFANITY"
"japcrap","PROFANITY"
"jebus","PROFANITY"
"jeez","PROFANITY"
"jerkoff","PROFANITY"
"jesus","PROFANITY"
"jesuschrist","PROFANITY"
"jew","PROFANITY"
"jewish","PROFANITY"
"jiga","PROFANITY"
"jigaboo","PROFANITY"
"jigg","PROFANITY"
"jigga","PROFANITY"
"jiggabo","PROFANITY"
"jigger ","PROFANITY"
"jiggy","PROFANITY"
"jihad","PROFANITY"
"jijjiboo","PROFANITY"
"jimfish","PROFANITY"
"jism","PROFANITY"
"jiz ","PROFANITY"
"jizim","PROFANITY"
"jizjuice","PROFANITY"
"jizm ","PROFANITY"
"jizz","PROFANITY"
"jizzim","PROFANITY"
"jizzum","PROFANITY"
"joint","PROFANITY"
"juggalo","PROFANITY"
"jugs","PROFANITY"
"junglebunny","PROFANITY"
"kaffer","PROFANITY"
"kaffir","PROFANITY"
"kaffre","PROFANITY"
"kafir","PROFANITY"
"kanake","PROFANITY"
"kid","PROFANITY"
"kigger","PROFANITY"
